WordId,Word,TextRankScore
1283,undecided,2.557860
2959,apoyar,0.325900
338,teachers,3.560034
4057,attend,0.747885
835,school,1.432783
205,looks,3.084424
2152,shook,0.398586
2726,doe,0.745032
4225,confident,0.657663
339,give,2.104049
56,shit,2.513692
216,looking,1.780103
3455,friendly,0.233306
80,tie,4.345639
4446,refer,0.575243
1453,applause,2.201635
1454,rules,0.992404
1500,ran,0.251402
3436,podium,0.216551
5192,boys,0.798360
3435,matches,0.960319
3227,reforms,0.313093
402,#jobs,0.896210
3117,join,1.470007
1099,state,0.806804
6166,fantasy,0.984645
1124,football,0.781331
815,#mitt,0.288642
5450,season,1.260703
2184,coming,1.347976
2058,handshake,0.987780
858,gay,1.275621
628,gotta,0.859047
226,r,1.081827
382,us,5.055153
765,taking,2.598166
3641,book,1.459220
498,household,0.557934
471,says,2.769513
2931,brain,1.595195
3937,reducing,0.731410
678,use,2.245393
860,women,1.660414
665,economy,2.778846
5751,information,0.720704
1910,terrible,0.721453
919,speaker,1.409191
270,always,1.688910
1580,colleges,1.280760
1968,passes,0.396268
246,1st,1.834725
3502,jill,0.579768
6609,delivery,0.576480
2326,sex,0.455702
1908,fooled,0.282509
1383,lies,1.829299
619,campaign,2.172638
618,part,1.052766
1543,room,0.734557
4064,tells,1.407650
2870,clear,1.436007
2068,af,1.087984
42,sure,4.121664
2765,fun,0.797644
948,play,1.320083
1,tweeting,1.357472
3034,biased,0.564904
802,places,0.802615
391,class,2.887356
857,rights,0.926653
177,starts,1.394613
853,trash,1.044371
1412,#beinformed,0.238881
238,#election2012,1.585598
3532,worn,0.562936
3817,larger,0.418726
323,romney's,4.670873
2337,yah,0.226852
819,#zingers,0.442630
1302,couple,1.703519
1303,un,0.428527
1366,lapel,0.812209
360,mrs,1.935429
828,o,2.807273
466,gave,1.593895
565,anyone,2.086443
5023,#obamanation,0.412481
5022,idgaf,0.382791
2110,hurting,0.637752
2033,dat,1.314256
1762,bush,2.622045
3013,bloods,1.134027
2903,rooting,0.604387
1244,costs,0.555433
596,bummed,0.160097
1080,cute,1.363919
956,wit,0.790482
2243,letting,0.457826
1871,speak,1.804670
2051,para,1.715194
3940,te,0.638708
1098,blue,2.926700
273,come,1.033235
417,keep,2.880098
729,party,2.745767
167,thats,1.489957
597,prove,0.354418
771,someone,2.206166
1686,boost,0.644854
1051,production,1.030943
1185,chicago,1.003767
3251,whose,0.855982
3252,unemployment,1.555511
675,new,3.144919
3096,buzz,0.543814
1865,michelle's,1.135570
181,wedding,1.358706
1102,happen,0.398780
3350,court,0.967690
5225,oct,0.799702
5226,16th,0.888991
38,right,3.347605
6387,holler,1.119666
709,potus,1.798048
4189,center,0.760291
259,s,1.818165
410,path,1.307713
2794,offered,0.923944
1515,remarks,0.558404
670,touch,1.338684
95,done,2.300540
97,#romneyryan2012,2.126606
98,#obamaisntworking,0.558652
432,talking,3.182428
4058,#forward2012,0.333004
1444,connect,0.418432
1446,level,0.385466
4400,wore,0.943393
539,focus,1.774823
5407,explains,0.322048
703,open,1.317826
76,fight,1.777986
1464,stories,1.989882
4253,brings,0.859706
256,marriage,1.915549
1188,detroit,0.517351
861,progress,1.175837
425,tonight,3.173926
1126,creation,0.518397
173,key,0.394174
6576,dancing,0.408159
1249,change,1.640505
3578,reduce,0.652642
914,bit,1.055776
1651,high,1.279612
404,knows,0.819976
2039,issues,1.522527
1213,interested,0.750360
2991,jim,1.897877
1616,remember,0.951529
463,original,0.726080
504,nigga,2.094216
909,hand,0.813172
1825,gone,0.479126
528,run,1.550955
3924,#debatefest,0.293801
867,lets,1.494444
6283,ta,0.247516
1065,less,1.751944
24,wonder,0.977435
1116,used,1.767428
2428,#essencedebate,0.662307
64,#obama2012,3.497898
6111,colored,0.363411
2527,union,1.241289
789,program,2.034363
890,ill,0.586182
1281,story,1.017008
1010,mitt's,1.276749
1851,empathy,1.108812
302,improve,2.016369
4119,#education,0.291929
3026,mix,0.398356
61,social,1.075501
5564,corner,0.876294
9,million,2.510491
58,students,1.427599
140,#occupythedebates,0.320224
3877,pepper,0.723557
395,different,3.057675
4181,rephrasing,0.227265
431,opening,2.587686
1857,rule,1.314186
545,club,0.451082
213,look,2.690811
320,points,2.905792
1097,states,1.038976
2369,feels,0.438262
385,wants,2.071140
837,cant,0.654352
2035,em,1.265056
1869,clinton,0.595200
960,pro,0.336083
668,term,0.623061
722,trickledown,1.894802
4547,entre,0.719812
2921,breast,0.689631
484,house,1.788453
485,episode,0.852434
1933,lying,0.687375
428,ass,3.076380
985,everyone,2.230437
7218,cheer,0.538853
515,times,0.760044
17,people,3.718071
824,allow,1.082402
13,created,1.431604
3888,ignore,0.615396
783,brown,2.069546
778,idea,0.837919
2171,future,2.277636
319,point,2.277345
5374,daily,0.878674
551,self,0.849171
1518,#debatewatch,1.799048
801,sorry,1.265936
1800,men,1.801234
165,wife,4.854662
1070,telling,1.623625
312,wrong,1.831250
67,student,0.809826
318,trying,1.441213
1212,started,0.965863
178,wishing,2.383204
4644,eyebrow,0.465064
2104,following,0.355642
2442,debt,1.158860
6199,health,1.058942
1545,sexy,0.522965
1127,goes,0.890230
784,plan,3.713489
1785,increase,0.534355
1055,shouting,0.214771
367,supports,0.405223
370,comes,1.373025
474,won,1.068444
5669,lls,0.267970
380,realistic,0.365934
375,writing,0.918120
354,bad,1.682937
2282,programs,1.249651
2134,move,2.209006
341,shut,0.860101
176,haha,0.477718
2173,course,1.694985
507,joke,2.912943
5498,followed,0.354624
83,know,3.488456
1203,spend,1.539402
1382,community,1.794199
856,keeping,0.627843
180,happy,4.235495
4152,va,0.644616
4149,mejor,0.823837
4817,hoping,0.969150
549,much,1.690831
1554,left,0.910132
721,problem,1.659363
2728,nigger,0.371465
4313,leading,0.184215
2760,pell,1.309780
2654,grant,1.250216
1016,wait,1.136123
3548,classy,0.359072
2005,kissing,0.610774
818,uses,1.311056
920,word,1.012301
452,darn,0.364096
5569,speakers,0.754141
2239,posing,0.344907
156,debate,5.205648
5953,patriot,0.903949
2808,billionaire,0.549245
809,playing,1.263583
811,game,1.671296
52,stop,1.533015
1133,studying,0.685384
1134,il,0.738295
92,want,2.953716
7961,results,0.471213
1873,prepared,0.703103
160,statement,1.477995
1166,#nbcpolitics,0.989967
5723,congrats,0.155939
441,see,3.819550
3653,ruin,0.259333
4780,alright,1.108127
1510,lot,1.561697
2879,bush's,1.091989
120,really,2.879952
2592,parties,0.673486
1396,wear,0.991029
295,ties,2.174620
1817,correct,1.119131
636,solid,0.812557
1868,bill,1.072962
1705,heard,0.720200
3028,divorce,0.234047
530,nothing,0.751927
2230,wished,0.452033
3162,handed,0.358003
3826,reminded,0.989645
2222,tries,0.434889
3052,generation,0.722648
298,yes,1.726579
6970,massa,0.649950
1700,day,0.505025
4655,score,0.488285
697,boo,0.974120
1160,coverage,0.511564
1161,recommend,0.180495
2341,case,1.278396
2803,forget,0.993251
3079,prolly,0.642713
605,retirement,0.330597
1272,god,0.943376
94,say,2.833909
3461,passing,0.351454
1104,bigger,1.967267
2612,#latism,0.429782
7399,definition,0.769459
2614,info,0.346217
855,gives,0.919914
271,face,0.939965
427,kick,0.963728
1320,wow,1.798850
2040,line,1.769763
4783,pandering,0.604897
1108,seeing,2.197860
2147,yall,0.774778
1315,claims,0.311674
648,shout,1.975979
5721,net,0.382476
5634,dems,0.383959
261,real,3.036916
2934,breaks,1.024453
852,bet,0.793566
1557,public,1.817600
2242,yea,0.984821
472,thanks,1.369802
2244,cpd,0.511571
2912,loopholes,0.518696
2594,offer,1.482839
683,hell,1.501815
2041,advantage,0.584886
2157,#economy,0.423228
637,ways,0.415780
2999,addressed,0.316457
166,anything,1.924703
3032,sheep,0.205232
1386,wives,0.612186
208,governor,0.632284
2195,learn,1.010114
1542,sitting,0.905335
1339,head,1.140387
479,seems,2.550968
2113,rid,0.817712
232,denver,1.600457
231,university,1.290156
230,first,3.079842
90,agree,1.038914
1293,answering,1.148373
2668,adam,0.226774
1288,manufacturing,1.259339
258,owned,0.575684
7028,grass,0.738900
454,solution,0.645531
661,ya,1.232053
4365,girls,1.384302
381,take,3.354226
586,matter,1.131494
289,number,0.983244
5565,#jjp,0.491504
525,answers,0.749590
3627,pt,0.444978
770,reform,0.581418
3365,cnn,1.568912
1226,answered,0.867930
44,romantic,1.927302
2000,anytime,0.226478
907,damn,1.021593
304,system,2.011714
4071,given,0.456397
3780,silence,0.463368
535,americans,1.134890
3910,tebow,0.540650
693,starting,1.122182
3043,reagan,0.920417
1421,#gop,0.529540
2211,bring,2.178470
1562,super,0.560649
3947,100k,0.607672
2193,science,1.650102
790,called,1.872451
698,#presidentialdebate2012,0.318076
1990,subject,0.691432
5176,rom,0.422175
5177,anecdotes,0.687414
6454,econ,0.667887
229,policy,2.821092
717,bed,0.270830
1895,though,1.940232
2881,approval,0.659054
71,mean,1.404307
3483,quotes,0.730585
1650,laid,0.341907
350,taxes,0.926993
4214,pretending,0.809425
186,care,1.389959
2872,cnn's,1.010729
1863,crowd,1.108264
1995,cool,0.591045
1646,moderator,0.356343
672,mr,1.393638
2038,calls,0.900068
1137,follow,0.498022
426,retweet,0.684904
73,put,2.671387
5930,octagon,0.211414
241,mentioned,0.853284
566,believe,0.790845
103,#america,0.505799
285,cut,2.136998
942,night,2.717794
2888,arm,1.256356
2889,ohio,1.487870
7406,democracy,0.592326
2778,#ows,0.536327
2986,yep,0.334992
4420,heck,0.450937
1932,yo,0.341140
192,#teamobama,3.397233
4362,society,0.700800
2568,sign,0.699826
86,top,1.732627
5582,teacher,1.253140
4078,killing,0.768110
4609,millionaire,0.235636
214,man,2.416732
864,little,1.675758
2409,favor,0.597375
2781,challenger,0.584527
1286,specifics,1.775480
8086,iin,1.002537
8090,iyi,0.624124
4883,conversations,0.374706
284,tax,4.443893
4729,digging,0.699176
984,mess,0.940025
690,hate,1.277342
1769,seconds,0.403885
2155,sweetie,1.061188
8145,benefiting,0.468806
2136,2nd,1.295800
2006,hahaha,0.814449
1235,cause,0.993177
739,friend,0.519785
3898,ge,0.794128
572,20th,2.388684
5932,gift,0.309187
66,college,2.671905
3143,grants,0.469373
615,los,1.829091
2727,cunt,0.535853
2364,practicing,0.808207
2834,turning,0.636850
882,size,0.286678
389,creating,0.744323
1355,fox,0.581181
2582,lines,1.748543
293,color,1.314636
292,thing,2.038620
2753,growth,0.439136
2215,es,1.172697
2216,dnde,0.572964
1563,bowl,0.306507
1527,excited,0.794598
3494,#denverdebates,1.268861
1679,female,0.590109
1401,history,0.976894
5113,id,0.939763
27,speaking,1.454312
3496,facts,0.819091
200,ever,1.345741
2976,tuned,0.447467
1395,predicted,0.829676
3988,beat,1.208886
1928,rates,1.315923
4755,givin,0.792202
617,important,0.909704
172,dude,0.731768
1839,#excited,0.456856
3166,whoa,0.443993
4184,technical,0.920152
3560,advocates,0.258128
1815,healthcare,0.441399
1892,jacket,1.081220
2253,rolled,0.487600
4816,congratulations,0.600952
2371,green,0.909481
2372,yellow,0.421586
557,never,3.408518
2591,realize,0.596270
2456,congratulates,0.603438
4742,pair,0.488608
340,candidates,4.018247
45,place,3.016779
4256,#romneysucks,0.232791
3452,props,0.560207
3053,caring,0.432321
5747,hall,0.349628
2531,latinos,0.302909
6226,loved,0.465143
131,checks,0.637838
3273,kitty,0.556057
537,govt,1.479081
5492,thumb,0.643820
3249,earlier,0.419372
3685,hello,0.508365
2706,lucky,1.147151
4066,stare,0.478022
503,bitch,0.487319
2966,puts,0.325137
4186,#gopwatchparty,0.706316
699,pay,1.366774
4720,#yankees,0.202086
2196,heart,0.422617
4626,#romneyeconomy,0.727359
2335,fan,0.228797
666,great,3.111967
1473,lots,0.713025
1713,policies,1.789729
502,loans,1.446733
2366,streams,0.384277
2820,butt,0.462022
5032,cost,0.481957
939,yell,1.441668
5614,eachother,0.513468
1522,everytime,1.471245
296,confused,0.330091
4849,ignores,0.275255
121,well,2.695036
913,suit,1.068994
2492,raise,0.473972
1926,corp,0.763022
4697,average,0.897969
4114,mormons,1.015059
1976,promise,0.442382
1680,voter,1.405599
1477,everybody,1.302525
1204,plans,2.933286
3169,uhhhhhhhhh,0.356161
1311,creates,0.684634
3011,taught,0.645527
7494,band,1.014358
1992,folks,0.939961
4734,stronger,0.501184
5037,cont,0.537267
376,card,0.630995
6922,#expandthedebate,0.375505
12,sector,1.430335
5780,anger,0.587658
2105,random,1.123205
455,corporate,1.479797
2288,match,1.092692
6117,busting,0.990575
1597,defense,0.619776
1596,begins,0.803770
6234,branch,0.387769
2532,possible,0.322443
2705,ask,1.165006
6004,#lol,0.463305
6503,outfits,0.187269
41,#debate2012,3.830563
4082,congress,0.504342
3759,msnbc,0.697931
2506,authentic,1.288854
559,stage,0.911725
2657,minute,1.361746
1540,standing,0.464171
3545,destroyed,0.329005
236,wanted,1.123059
313,canadian,0.252243
883,american,3.284357
1724,aha,0.188813
2281,gov,1.169545
2988,comment,0.369838
2440,added,0.476401
40,going,3.045736
2203,guess,1.055259
3575,smfh,0.324485
1008,voice,1.180392
4216,opinions,1.377896
2544,nominee,0.425613
3339,cans,0.670477
99,#cantafford4more,1.120675
4586,barack's,0.970582
2320,claiming,0.462791
5133,introduce,0.231057
889,isnt,0.701229
3265,days,0.471237
3622,dayton,2.511376
3623,week,0.567887
62,media,1.187106
1531,unions,0.581239
6319,helps,0.487939
971,base,0.537220
1939,stream,0.919773
6490,battling,1.038087
6491,ideology,0.535477
4516,stem,0.539573
982,fix,0.394512
1060,definitely,0.942476
501,tuition,2.859935
7094,pee,0.616905
4202,pants,0.562501
5828,conversation,0.360462
8252,cray,0.489206
2776,austerity,0.574800
6586,begint,0.399551
986,die,1.537084
6589,amerika,0.411735
3098,ear,0.413138
4613,sigh,1.151046
390,middle,2.472942
746,auditorium,0.400286
1514,repeats,0.297075
6498,#millennials,0.550823
2213,yikes,0.234943
4575,perfect,0.511106
1486,old,1.059499
1361,reelected,0.242977
1332,pretty,2.040675
3450,faith,0.423035
1358,smh,1.013324
708,lame,0.433078
3867,#lame,0.340991
1000,hear,2.161894
5925,babbling,0.185016
104,#romney,6.520958
901,political,2.236491
1216,check,1.178882
4518,decent,1.071634
812,intro,0.591073
5359,pretend,0.336840
1258,latina,0.505123
1259,si,0.942274
2368,married,0.654720
2260,air,0.779553
3307,hour,0.638374
1061,bottom,1.360833
2647,somebody,0.468890
1896,hammer,0.424205
510,hold,0.660891
1520,lady,1.321687
4608,womp,0.522808
3268,#fashion,0.497547
287,seem,0.749846
3776,nite,0.334051
3889,dem,1.148248
2962,empleos,0.240977
5104,coincidence,0.369042
1613,hes,0.627560
3880,tone,0.941724
2682,mins,0.800055
1506,#decision2012,1.544419
3574,simple,0.947631
1598,record,0.966005
4950,continue,0.318646
1132,improvement,0.753574
1728,biggest,1.365014
333,pres,2.538982
2296,zinger,0.967542
6941,#trickledowngovernment,0.356855
805,hire,1.276185
754,realized,0.482747
344,end,0.298353
1688,role,0.858453
1706,yeah,0.988221
642,job,3.910910
885,pin,1.896053
4546,presidencial,0.445931
2675,finish,0.965446
124,full,1.581610
335,federal,0.546205
735,kind,1.266332
2599,swear,0.198898
1656,enjoying,0.309554
2984,non,0.330155
260,awkward,1.094677
2283,power,0.308792
759,red,3.158227
2119,companies,0.490471
1929,yrs,0.378298
3909,tim,0.222491
4077,prevent,0.266029
4028,actions,0.732343
1068,#tlot,0.707830
3000,convince,0.315184
3374,inherited,0.691251
1224,beginning,0.784064
1394,boxing,0.849636
573,#anniversary,0.495202
791,improving,0.617177
4430,mandate,0.256508
2333,joking,0.301337
4819,rap,0.737610
509,told,1.240653
569,woman,3.146241
4069,teaching,0.318009
4988,due,0.844046
2874,opinion,0.382461
1443,rhetoric,0.827051
2106,entertaining,0.633644
2107,method,0.700597
55,fixing,0.273362
3723,security,1.040762
750,force,0.658962
5734,performance,0.388501
221,#debate,4.497836
6295,tipo,0.616156
32,tell,0.920237
2406,ann,1.029994
1457,rough,0.749424
5088,por,1.051968
2138,lil,0.264024
2891,dollar,0.755470
8398,tree,0.836193
1885,unemployed,1.927278
2172,jk,0.251786
168,takes,0.275085
123,turn,3.376188
1935,wearing,1.695457
3002,relate,0.559496
4673,credit,0.887716
1269,#forwardnotback,0.444157
3812,eloquent,0.638298
590,else,0.968345
1504,hunger,0.250006
1190,rate,2.235751
75,let,3.141675
79,president's,1.523184
5336,group,0.733832
1794,democrats,1.348208
6923,loses,0.930990
506,fuckin,0.239083
514,republican,2.381307
536,decide,0.920581
643,words,1.415731
1796,sounding,0.495348
68,just,3.698072
5990,primer,0.893259
2150,joker,0.741755
184,racist,0.292806
2079,song,1.645070
1381,choice,1.162013
1915,trending,0.649431
1041,office,1.099370
2759,romneyryan,0.773016
1255,comercio,1.173495
2732,ones,0.526675
3654,re,0.490865
792,train,0.566018
1451,send,0.731013
561,minutes,1.231909
1179,usual,0.644196
1854,listen,0.996693
5230,dang,0.404947
5303,cheers,0.616322
2286,lights,0.946867
7056,surplus,0.571455
2205,amen,0.607494
908,shake,1.249444
3300,liberal,0.408116
5168,fill,0.680875
107,trickle,2.392092
1833,yr,0.287839
7816,civil,0.398202
2462,lost,1.747952
363,better,2.028138
2325,hard,0.783095
963,touching,0.818529
5497,blame,1.110517
1242,bs,1.366710
301,need,1.540008
2882,cleaning,0.599489
585,things,0.991904
999,presidency,1.083786
5906,assistance,0.689698
1725,phone,1.307712
2937,problems,0.559954
2316,n,0.455014
84,like,4.727564
1900,robot,1.279039
2175,ignorance,1.030755
5513,road,0.264723
1631,training,0.610121
953,rest,1.212252
1385,anniversaries,0.368136
281,year,2.154088
25,think,2.013263
671,hope,2.457991
2225,talked,0.357088
219,getting,2.572127
1849,forced,0.390957
743,asking,0.882024
2887,grabbed,0.515128
996,growing,0.775321
4096,houses,0.990814
1694,celebrate,0.959639
4614,struck,0.782061
2856,visuals,0.464047
4977,sets,0.664571
4882,throws,0.345894
1745,dan,0.969894
3187,component,0.211238
1177,cry,0.868066
2048,que,1.824341
5620,livestream,0.510106
2011,se,0.954381
6849,breathy,1.011480
372,choose,1.286928
373,#presdebate,0.711464
1181,basic,0.826203
4978,embrace,0.423934
3709,#brobama,0.993173
4781,empty,0.730921
187,watching,3.002834
3463,grab,0.792170
2356,popcorn,0.795025
3085,thanking,0.321075
5594,action,0.350220
2123,#usa,0.447226
1256,con,0.749557
1257,amrica,0.991123
21,get,6.435659
1617,matrix,0.720885
753,dodged,0.696635
482,changed,0.674479
483,mind,0.618441
1442,form,0.998267
1943,shorter,0.513163
6777,opener,0.741574
28,lol,2.549467
1035,putting,0.697518
2450,child,0.925826
7624,convo,0.350453
3491,stump,0.190519
435,young,0.875064
1653,annoyed,0.292032
2846,imagined,0.334336
764,awe,0.176370
1666,honey,0.479588
550,makes,2.796693
4719,yankees,0.571496
257,poor,0.986644
6846,mine,0.323880
676,economic,3.407038
4754,c'mon,0.351844
1064,paid,0.584406
827,filter,0.332772
4687,purple,0.709755
1978,call,2.963453
1209,listening,0.432907
5545,single,0.764346
1198,zingers,1.235037
1056,thank,1.910356
4668,doin,0.393048
2312,vague,1.455452
2901,eff,0.711901
3718,yous,0.565719
3813,afraid,0.256793
1045,supposed,1.245206
1591,chance,0.714479
2548,imma,0.301074
199,please,2.888156
3283,remind,0.493618
608,de,4.652636
5553,teenager,0.677450
378,forgot,0.795501
3624,bob,0.407294
3640,ahead,0.650073
2210,republicans,0.491739
3953,hitting,0.307085
310,ur,1.853847
228,domestic,1.167091
227,discuss,0.364669
4794,hashtag,0.914194
2837,feed,0.430653
377,obamas,1.689108
308,twitter,2.624412
347,bullshit,0.494197
3715,aww,0.462485
470,smart,1.620198
2169,kiss,0.422637
3425,hole,0.507501
2075,okay,0.671850
1040,pick,0.605302
1647,um,0.620651
1664,silent,0.324151
626,da,0.499171
3245,sucks,0.629416
4811,mujeres,1.000000
2926,bored,0.368976
4903,loan,0.580140
1052,fist,0.466909
2866,flat,1.230077
740,came,0.836893
1925,lower,1.727834
133,working,0.563831
1888,examples,0.763960
343,might,0.908473
2305,hood,0.516075
884,flag,2.252929
680,deal,0.631169
3711,shouts,0.213616
108,economics,0.846258
5805,#nerd,0.302404
5459,aniversario,0.454971
188,tho,0.458840
1994,today,0.848262
3,president,5.778207
2936,faces,0.780923
831,making,2.089958
1924,falls,0.415538
2297,reading,0.562680
4656,attacked,0.481738
4881,keystone,0.694101
1290,count,0.613517
4030,#fail,0.599882
2081,shouted,0.221739
1946,grey,0.340415
306,world,1.294140
1445,audience,2.366948
1641,democratic,0.279171
488,pulled,0.437035
489,classic,0.525928
5436,square,0.488516
5891,australia,0.278965
7732,eeuu,0.524986
204,zing,0.355224
1220,double,1.000618
1180,thru,1.298562
1820,makeup,1.295874
3804,touts,0.630232
1836,made,2.119452
1362,acknowledge,0.219903
294,coordinated,0.367176
1534,thoughts,0.690035
1438,list,0.479671
3077,hit,0.611994
251,back,3.307550
4164,dials,0.277727
2135,acknowledges,0.296869
1073,entire,0.781659
311,life,1.462901
1906,half,0.932707
601,fake,1.575828
5598,phony,0.248119
3424,cutest,0.683552
43,imagine,0.364647
1751,debat,0.750900
1753,presiden,1.623446
1752,kandidat,0.863769
2723,#debatedenver,1.761542
5837,dirt,0.398510
1816,glad,0.241364
862,eyes,1.838304
6339,bother,0.208521
1431,blood,0.441697
233,sounds,1.346876
237,answer,2.676322
3724,details,1.653137
151,become,0.409292
798,popular,1.055944
3025,horrible,0.793766
6459,ye,0.365010
4124,#crnc,0.555610
3108,lake,0.596617
2122,informed,1.856883
2055,luck,0.476171
414,y,1.861646
5986,blog,0.186504
1703,barry,0.314468
3296,moderate,0.700019
2379,rick,0.275278
5,last,2.609372
925,tried,0.491030
3790,lick,0.663280
627,white,0.823258
3911,success,0.970935
4894,unpatriotic,0.787355
1232,everything,0.647078
469,election,1.186631
7353,tack,0.830913
3869,systems,0.326524
640,failed,1.312946
706,team,0.725554
1475,soo,0.436534
276,begun,1.152482
5730,hub,1.000000
1767,fit,0.410525
2757,confront,0.205114
7602,network,0.270843
6148,podiums,0.240933
6061,appear,0.897191
1502,spinning,0.828685
3218,increased,1.121458
972,explain,0.487057
1425,wtf,0.964054
1889,failures,0.490251
2799,born,0.652520
77,husband,0.580523
4717,message,0.324378
1287,#cnn,0.653046
3474,liked,0.393220
639,prices,0.622332
1400,ap,0.794694
962,may,0.545761
3841,glass,0.841810
3840,prison,0.465411
2942,trillion,1.104498
1578,mil,0.731986
159,next,2.102439
5050,ladies,1.357467
1587,tweet,1.018879
1509,began,0.936048
1525,min,0.618183
